name,base_name,stream_id,best_score
PRIME: KABEL EINS CLASSICS RAW,KABEL EINS CLASSICS,,75.0
PRIME: KIKA RAW,KIKA,,77.1
PRIME: LADYKRACHER RAW,LADYKRACHER,,77.1
PRIME: LOVE THE PLANET RAW,LOVE THE PLANET,,85.5
PRIME: MADE IN CHELSEA RAW,MADE IN CHELSEA,,85.5
PRIME: MAVTV INTERNATIONAL RAW,MAVTV INTERNATIONAL,,88.9
PRIME: MDR SACHSEN RAW,MDR SACHSEN,,67.5
PRIME: MDR SACHSEN-ANHALT RAW,MDR SACHSEN-ANHALT,,68.4
PRIME: MDR THÜRINGEN RAW,MDR THÜRINGEN,,72.0
"PRIME: MEET, MARRY, MURDER RAW","MEET, MARRY, MURDER",,85.5
PRIME: MORE THAN SPORTS TV RAW,MORE THAN SPORTS TV,,85.5
PRIME: MOTORVISION DE RAW,MOTORVISION DE,,85.5
PRIME: MOTORVISION.TV RAW,MOTORVISION.TV,,90.0
PRIME: MOVIESPHERE BY LIONSGATE RAW,MOVIESPHERE BY LIONSGATE,,90.0
PRIME: MYTIME MOVIE NETWORK RAW,MYTIME MOVIE NETWORK,,90.0
PRIME: NARUTO RAW,NARUTO,,72.0
PRIME: NATUR RAW,NATUR,,90.0
PRIME: NAUTICAL CHANNEL DE RAW,NAUTICAL CHANNEL DE,,85.5
PRIME: NBC NEWS NOW RAW,NBC NEWS NOW,,90.0
PRIME: NDR FERNSEHEN HH RAW,NDR FERNSEHEN HH,,72.0
PRIME: NDR FERNSEHEN MV RAW,NDR FERNSEHEN MV,,72.0
PRIME: NDR FERNSEHEN NDS RAW,NDR FERNSEHEN NDS,,72.0
PRIME: NDR FERNSEHEN SH RAW,NDR FERNSEHEN SH,,72.0
PRIME: OUTTV RAW,OUTTV,,72.0
PRIME: PHOENIX RAW,PHOENIX,,90.0
PRIME: PRIME RAW,PRIME,,90.0
PRIME: PROFILING PARIS RAW,PROFILING PARIS,,85.5
PRIME: PROSIEBEN FUN RAW,PROSIEBEN FUN,,60.5
PRIME: RADIO BREMEN RAW,RADIO BREMEN,,90.0
PRIME: RBB BERLIN FERNSEHEN RAW,RBB BERLIN FERNSEHEN,,72.0
PRIME: RBB BRANDENBURG RAW,RBB BRANDENBURG,,90.0
PRIME: RED BULL TV RAW,RED BULL TV,,85.5
PRIME: RIVER MONSTERS RAW,RIVER MONSTERS,,85.5
PRIME: ROMANCE TV RAW,ROMANCE TV,,90.0
PRIME: SAT.1 EMOTIONS RAW,SAT.1 EMOTIONS,,85.5
PRIME: SCOOORE RAW,SCOOORE,,90.0
PRIME: SILVERLINE TV DE RAW,SILVERLINE TV DE,,85.5
PRIME: SPIEGEL GESCHICHTE RAW,SPIEGEL GESCHICHTE,,73.3
PRIME: SPIEGEL TV KONFLIKTE RAW,SPIEGEL TV KONFLIKTE,,90.0
PRIME: SPORTDIGITAL DE RAW,SPORTDIGITAL DE,,85.5
PRIME: SR FERNSEHEN RAW,SR FERNSEHEN,,64.3
PRIME: STINGRAY CLASSICA RAW,STINGRAY CLASSICA,,90.0
PRIME: SWR FERNSEHEN BW RAW,SWR FERNSEHEN BW,,60.0
PRIME: SWR FERNSEHEN RP RAW,SWR FERNSEHEN RP,,60.0
PRIME: TAGESSCHAU24 RAW,TAGESSCHAU24,,72.0
PRIME: TELE5 RAW,TELE5,,80.0
PRIME: TERRA MATER WILD RAW,TERRA MATER WILD,,85.5
PRIME: THE REAL HOUSEWIVES RAW,THE REAL HOUSEWIVES,,90.0
PRIME: THE WICKED TUNA CHANNEL RAW,THE WICKED TUNA CHANNEL,,90.0
PRIME: TLC RAW,TLC,,90.0
PRIME: TOP CHEF RAW,TOP CHEF,,85.5
PRIME: TOP GEAR RAW,TOP GEAR,,90.0
PRIME: TOP SCI-FI RAW,TOP SCI-FI,,85.5
PRIME: TOP TRUE CRIME RAW,TOP TRUE CRIME,,90.0
PRIME: TRAILERS RAW,TRAILERS,,90.0
PRIME: TÄTERJAGD (CRIME SCENE SOLVERS) RAW,TÄTERJAGD (CRIME SCENE SOLVERS),,85.5
PRIME: UNSOLVED MYSTERIES RAW,UNSOLVED MYSTERIES,,90.0
PRIME: WDR BIELEFELD RAW,WDR BIELEFELD,,78.9
PRIME: WDR BONN RAW,WDR BONN,,72.0
PRIME: WDR DORTMUND RAW,WDR DORTMUND,,75.0
PRIME: WDR DUISBURG RAW,WDR DUISBURG,,75.0
PRIME: WDR DÜSSELDORF RAW,WDR DÜSSELDORF,,85.5
PRIME: WDR ESSEN RAW,WDR ESSEN,,68.4
PRIME: WDR KÖLN RAW,WDR KÖLN,,85.5
PRIME: WDR MÜNSTER RAW,WDR MÜNSTER,,85.5
PRIME: WDR SIEGEN RAW,WDR SIEGEN,,60.0
PRIME: WDR WUPPERTAL RAW,WDR WUPPERTAL,,67.5
PRIME: WELT RAW,WELT,,90.0
PRIME: X-FACTOR: DAS UNFASSBARE RAW,X-FACTOR: DAS UNFASSBARE,,85.5
PRIME: XENA WARRIOR PRINCESS RAW,XENA WARRIOR PRINCESS,,72.0
PRIME: YU-GI-OH! RAW,YU-GI-OH!,,90.0
PRIME: ZDF RAW,ZDF,,90.0
PRIME: ZDFINFO RAW,ZDFINFO,,64.3
PRIME: ZDFNEO RAW,ZDFNEO,,60.0
PRIME: NBA TV INTERNATIONAL RAW,NBA TV INTERNATIONAL,,90.0
PRIME: FILM1 ACTION RAW,FILM1 ACTION,,90.0
PRIME: FILM1 DRAMA RAW,FILM1 DRAMA,,85.5
PRIME: FILM1 PREMIER RAW,FILM1 PREMIER,,72.0
PRIME: MEZZO RAW,MEZZO,,90.0
PRIME: MEZZO LIVE RAW,MEZZO LIVE,,90.0
PRIME: OUTTV RAW,OUTTV,,72.0
PRIME: INTER TV RAW,INTER TV,,90.0
PRIME: MILAN TV RAW,MILAN TV,,90.0
PRIME: MEZZO RAW,MEZZO,,90.0
PRIME: MEZZO LIVE RAW,MEZZO LIVE,,90.0
