name,base_name,stream_id,best_score
PRIME: ION RAW,ION,,90.0
PRIME: ION PLUS RAW,ION PLUS,,90.0
PRIME: IRON CHEF RAW,IRON CHEF,,90.0
PRIME: ISN'T IT ROMANTIC RAW,ISN'T IT ROMANTIC,,85.5
PRIME: JAIL RAW,JAIL,,90.0
PRIME: JAJAJA RAW,JAJAJA,,49.1
PRIME: JAMIE OLIVER RAW,JAMIE OLIVER,,90.0
PRIME: JEWISH LIFE TELEVISION RAW,JEWISH LIFE TELEVISION,,90.0
PRIME: JOEL OSTEEN CHANNEL RAW,JOEL OSTEEN CHANNEL,,60.0
PRIME: JOHNNY CARSON TV RAW,JOHNNY CARSON TV,,90.0
PRIME: JUDGE & JURY RAW,JUDGE & JURY,,90.0
PRIME: JUDGE NOSEY RAW,JUDGE NOSEY,,90.0
PRIME: JUDY JUSTICE RAW,JUDY JUSTICE,,85.5
PRIME: KARAMO PRESENTED BY NOSEY RAW,KARAMO PRESENTED BY NOSEY,,90.0
PRIME: KIDS & FAMILY FUN RAW,KIDS & FAMILY FUN,,90.0
PRIME: KIDS IN THE HALL RAW,KIDS IN THE HALL,,90.0
PRIME: KIM'S CONVENIENCE RAW,KIM'S CONVENIENCE,,90.0
PRIME: KIRO SEATTLE (CBS) RAW,KIRO SEATTLE (CBS),,85.5
PRIME: LAFF MORE RAW,LAFF MORE,,90.0
PRIME: LAS 3 MARIAS RAW,LAS 3 MARIAS,,85.5
PRIME: LASSIE RAW,LASSIE,,90.0
PRIME: LATINO VIBES RAW,LATINO VIBES,,85.5
PRIME: LAWLESS RAW,LAWLESS,,90.0
PRIME: LEAVE IT TO BEAVER RAW,LEAVE IT TO BEAVER,,85.5
PRIME: LET'S MAKE A DEAL RAW,LET'S MAKE A DEAL,,85.5
PRIME: LEVERAGE RAW,LEVERAGE,,72.0
PRIME: LIDIA'S KITCHEN RAW,LIDIA'S KITCHEN,,85.5
PRIME: LIFE AND LEGEND OF WYATT EARP RAW,LIFE AND LEGEND OF WYATT EARP,,85.5
PRIME: LIFE BELOW ZERO RAW,LIFE BELOW ZERO,,85.5
PRIME: LITTLE HOUSE ON THE PRAIRIE RAW,LITTLE HOUSE ON THE PRAIRIE,,85.5
PRIME: LIVE NOW BY FOX RAW,LIVE NOW BY FOX,,85.5
PRIME: LIVE PD PRESENTS RAW,LIVE PD PRESENTS,,90.0
PRIME: LIVING WITH EVIL RAW,LIVING WITH EVIL,,90.0
PRIME: LOCALISH RAW,LOCALISH,,90.0
PRIME: LOCKED UP ABROAD RAW,LOCKED UP ABROAD,,72.0
PRIME: LONG LOST FAMILY RAW,LONG LOST FAMILY,,90.0
PRIME: LOVE AFTER LOCKUP WE TV RAW,LOVE AFTER LOCKUP WE TV,,90.0
PRIME: LOVE AND MARRIAGE RAW,LOVE AND MARRIAGE,,90.0
PRIME: LOVE NATURE RAW,LOVE NATURE,,90.0
PRIME: LOVE PETS RAW,LOVE PETS,,90.0
PRIME: MAGELLANTV WILDEST RAW,MAGELLANTV WILDEST,,90.0
PRIME: MATCHED MARRIED MEET RAW,MATCHED MARRIED MEET,,90.0
PRIME: MAX LATINO EAST RAW,MAX LATINO EAST,,85.5
PRIME: MEATEATER RAW,MEATEATER,,90.0
PRIME: MEDICAL INCREDIBLE RAW,MEDICAL INCREDIBLE,,90.0
PRIME: MGM CELEBRATES BLACK CINEMA RAW,MGM CELEBRATES BLACK CINEMA,,85.5
PRIME: MGM PRESENTS RAW,MGM PRESENTS,,90.0
PRIME: MGM PRESENTS: ACTION RAW,MGM PRESENTS: ACTION,,90.0
PRIME: MHZ MYSTERIES RAW,MHZ MYSTERIES,,90.0
PRIME: MIDSOMER MURDERS RAW,MIDSOMER MURDERS,,90.0
PRIME: MILITARY HEROES RAW,MILITARY HEROES,,90.0
PRIME: MIRAMAX MOVIE CHANNEL RAW,MIRAMAX MOVIE CHANNEL,,90.0
PRIME: MODERN MARVELS RAW,MODERN MARVELS,,90.0
PRIME: MONSTER JAM RAW,MONSTER JAM,,90.0
PRIME: MONSTERS ARE REAL RAW,MONSTERS ARE REAL,,90.0
PRIME: MOREMAX EAST RAW,MOREMAX EAST,,90.0
PRIME: MOTORTREND FAST TV RAW,MOTORTREND FAST TV,,90.0
PRIME: MOVIE FAVORITES BY LIFETIME RAW,MOVIE FAVORITES BY LIFETIME,,90.0
PRIME: MRBEAST RAW,MRBEAST,,90.0
"PRIME: MURDER, SHE WROTE RAW","MURDER, SHE WROTE",,72.0
PRIME: MY FIRST PLACE RAW,MY FIRST PLACE,,90.0
PRIME: MYSTERIOUS WORLDS RAW,MYSTERIOUS WORLDS,,90.0
PRIME: MYSTERY SCIENCE THEATER 3000 RAW,MYSTERY SCIENCE THEATER 3000,,90.0
PRIME: MYTHBUSTERS RAW,MYTHBUSTERS,,90.0
PRIME: MYTHICAL 24/7 RAW,MYTHICAL 24/7,,90.0
PRIME: NASH BRIDGES RAW,NASH BRIDGES,,90.0
PRIME: NASHVILLE RAW,NASHVILLE,,90.0
PRIME: NAT GEO SHARKS RAW,NAT GEO SHARKS,,72.0
PRIME: NATIONAL LAMPOON RAW,NATIONAL LAMPOON,,90.0
PRIME: NATURESCAPE RAW,NATURESCAPE,,90.0
PRIME: NBA TV HDTV RAW,NBA TV HDTV,,90.0
PRIME: NBC 10 BOSTON NEWS RAW,NBC 10 BOSTON NEWS,,85.5
PRIME: NBC 10 PHILADELPHIA NEWS RAW,NBC 10 PHILADELPHIA NEWS,,85.5
PRIME: NBC 4 LOS ANGELES NEWS RAW,NBC 4 LOS ANGELES NEWS,,85.5
PRIME: NBC 4 NEW YORK NEWS RAW,NBC 4 NEW YORK NEWS,,85.5
PRIME: NBC 4 WASHINGTON NEWS RAW,NBC 4 WASHINGTON NEWS,,85.5
PRIME: NBC 5 CHICAGO NEWS RAW,NBC 5 CHICAGO NEWS,,85.5
PRIME: NBC 6 SOUTH FLORIDA NEWS RAW,NBC 6 SOUTH FLORIDA NEWS,,85.5
PRIME: NBC 7 SAN DIEGO NEWS RAW,NBC 7 SAN DIEGO NEWS,,85.5
PRIME: NBC ATLANTA NEWS (11ALIVE WXIA) RAW,NBC ATLANTA NEWS (11ALIVE WXIA),,85.5
PRIME: NBC BAY AREA NEWS RAW,NBC BAY AREA NEWS,,85.5
PRIME: NBC CONNECTICUT NEWS RAW,NBC CONNECTICUT NEWS,,85.5
PRIME: NBC LX HOME RAW,NBC LX HOME,,90.0
PRIME: NBC NEWS NOW RAW,NBC NEWS NOW,,90.0
PRIME: NESN NATION RAW,NESN NATION,,90.0
PRIME: NHRA RAW,NHRA,,90.0
PRIME: NIKITA RAW,NIKITA,,90.0
PRIME: NIP / TUCK RAW,NIP / TUCK,,90.0
PRIME: NO RESERVATIONS RAW,NO RESERVATIONS,,90.0
PRIME: NOSTALGIC HITS RAW,NOSTALGIC HITS,,85.5
PRIME: NOTICIAS UNIVISION 24/7 RAW,NOTICIAS UNIVISION 24/7,,90.0
PRIME: NYPD BLUE RAW,NYPD BLUE,,67.5
PRIME: ONE CHAMPIONSHIP TV RAW,ONE CHAMPIONSHIP TV,,90.0
PRIME: OUTERSPHERE RAW,OUTERSPHERE,,90.0
PRIME: OUTLAW RAW,OUTLAW,,90.0
PRIME: OUTTV PROUD RAW,OUTTV PROUD,,67.5
PRIME: OVERTIME RAW,OVERTIME,,90.0
PRIME: PAC-12 INSIDER RAW,PAC-12 INSIDER,,90.0
PRIME: PARANORMAL FILES RAW,PARANORMAL FILES,,90.0
PRIME: PAW PATROL RAW,PAW PATROL,,85.5
PRIME: PAWS AND CLAWS RAW,PAWS AND CLAWS,,90.0
PRIME: PBS DOCUMENTARIES RAW,PBS DOCUMENTARIES,,85.5
PRIME: PBS DRAMA RAW,PBS DRAMA,,85.5
PRIME: PBS FOOD RAW,PBS FOOD,,90.0
PRIME: PBS GENEALOGY RAW,PBS GENEALOGY,,90.0
PRIME: PBS NATURE RAW,PBS NATURE,,90.0
PRIME: PBS TRAVEL RAW,PBS TRAVEL,,90.0
PRIME: PERFORM RAW,PERFORM,,90.0
PRIME: PERSONAL INJURY COURT RAW,PERSONAL INJURY COURT,,90.0
PRIME: PGA TOUR RAW,PGA TOUR,,90.0
PRIME: PICKLEBALLTV RAW,PICKLEBALLTV,,90.0
PRIME: PICKLETV RAW,PICKLETV,,90.0
PRIME: PINK PANTHER RAW,PINK PANTHER,,90.0
PRIME: PLACES & SPACES RAW,PLACES & SPACES,,90.0
PRIME: POKÉMON RAW,POKÉMON,,72.0
PRIME: PORTLANDIA RAW,PORTLANDIA,,90.0
PRIME: POWER RANGERS RAW,POWER RANGERS,,90.0
PRIME: POWERNATION RAW,POWERNATION,,90.0
PRIME: PRESCHOOL CORNER RAW,PRESCHOOL CORNER,,68.4
PRIME: PRIMETIME SOAPS RAW,PRIMETIME SOAPS,,90.0
PRIME: QELLO CONCERTS BY STINGRAY RAW,QELLO CONCERTS BY STINGRAY,,90.0
PRIME: RACER SELECT RAW,RACER SELECT,,90.0
PRIME: REAL DISASTER CHANNEL RAW,REAL DISASTER CHANNEL,,85.5
PRIME: REAL MADRID TV RAW,REAL MADRID TV,,85.5
PRIME: REALITY GONE WILD RAW,REALITY GONE WILD,,90.0
PRIME: REALITY TV: COMPETITION RAW,REALITY TV: COMPETITION,,72.0
PRIME: REALITY TV: SHORES RAW,REALITY TV: SHORES,,85.5
PRIME: REBELDE RAW,REBELDE,,65.5
PRIME: RED BULL RAW,RED BULL,,85.5
PRIME: REELZ FAMOUS AND INFAMOUS RAW,REELZ FAMOUS AND INFAMOUS,,85.5
PRIME: RELATIVE JUSTICE RAW,RELATIVE JUSTICE,,85.5
PRIME: REUTERS 60 RAW,REUTERS 60,,90.0
PRIME: REVRY RAW,REVRY,,90.0
PRIME: RIFFTRAX RAW,RIFFTRAX,,72.0
