name,base_name,stream_id,source,epg_id,score,method
PRIME: UNIVERSAL MONSTERS RAW,UNIVERSAL MONSTERS,,us2,Universal.Monsters.us2,98.0,exact
PRIME: UNIVERSAL MOVIES RAW,UNIVERSAL MOVIES,,us2,Universal.Movies.us2,98.0,exact
PRIME: UNIVERSAL WESTERNS RAW,UNIVERSAL WESTERNS,,us2,Universal.Westerns.us2,98.0,exact
PRIME: UNSOLVED MYSTERIES RAW,UNSOLVED MYSTERIES,,pass3_roku,4ecf313b40975382b983c183bf7d86f0,100.0,pass3-exact
PRIME: UNSPEAKABLE RAW,UNSPEAKABLE,,pass3_roku,11a0e337ea9b53d4b7a9517e219d7f5b,100.0,pass3-exact
PRIME: UNTOLD STORIES OF THE ER RAW,UNTOLD STORIES OF THE ER,,pass3_samsung,US4700030X8,100.0,pass3-exact
PRIME: UNXPLAINED ZONE RAW,UNXPLAINED ZONE,,pass3_pluto,656538f8954b020008d389db,100.0,pass3-exact
PRIME: VEVO '70S RAW,VEVO '70S,,us2,Vevo.70s.us2,98.0,exact
PRIME: VEVO '80S RAW,VEVO '80S,,us2,Vevo.80s.us2,98.0,exact
PRIME: VEVO COUNTRY RAW,VEVO COUNTRY,,us2,Vevo.Country.us2,98.0,exact
PRIME: VEVO HIP-HOP RAW,VEVO HIP-HOP,,us2,Vevo.Hip-Hop.us2,98.0,exact
PRIME: VEVO R&B RAW,VEVO R&B,,us2,Vevo.R.andB.us2,97.0,compact
PRIME: VICE RAW,VICE,,us2,Vice.us2,98.0,exact
PRIME: W NETWORK RAW,W NETWORK,,pass3_canada,W.Network.ca2,100.0,pass3-exact
PRIME: WANTED: DEAD OR ALIVE RAW,WANTED: DEAD OR ALIVE,,pass3_samsung,US190000918,100.0,pass3-exact
PRIME: WAYPOINT TV RAW,WAYPOINT TV,,pass3_samsung,USBB440002055,100.0,pass3-exact
PRIME: WEEDS AND NURSE JACKIE RAW,WEEDS AND NURSE JACKIE,,pass3_plex_mjh,6a1610bebdf296985fd95603-66915d35086cb6d46eae12c8,100.0,pass3-exact
PRIME: WELCOME HOME RAW,WELCOME HOME,,pass3_roku,35464d443ec35cb5b9d6082cd3186fde,100.0,pass3-exact
PRIME: WENDY WILLIAMS RAW,WENDY WILLIAMS,,pass3_plex_mjh,6a1610bebdf296985fd95603-685f0f5c593aba51f211823b,100.0,pass3-exact
PRIME: WORLD WAR TV RAW,WORLD WAR TV,,pass3_rakuten,UK:.World.War.TV.be,95.0,pass3-fuzzy
PRIME: WORLD'S MOST EVIL KILLERS RAW,WORLD'S MOST EVIL KILLERS,,plex,plex.tv.World`s.Most.Evil.Killers.plex,95.0,fuzzy
PRIME: WPXI PITTSBURGH (NBC) RAW,WPXI PITTSBURGH (NBC),,pass3_roku,e38d66dbb4e05f9690f6c573417fc231,95.0,pass3-fuzzy
PRIME: WSB ATLANTA (ABC) RAW,WSB ATLANTA (ABC),,pass3_roku,69f8d2659a475342b88db93b63f755d0,95.0,pass3-fuzzy
PRIME: WSOC CHARLOTTE (ABC) RAW,WSOC CHARLOTTE (ABC),,pass3_roku,2b91bedf0bf25b7e83c05291634da59a,95.0,pass3-fuzzy
PRIME: XENA WARRIOR PRINCESS RAW,XENA WARRIOR PRINCESS,,pass3_rakuten,FI:.Xena:.Warrior.Princess.be,95.0,pass3-fuzzy
PRIME: XITE 60S & 70S GROOVE RAW,XITE 60S & 70S GROOVE,,pass3_plex_mjh,6a1610bebdf296985fd95603-688005bc015fe7e375a1a0aa,100.0,pass3-exact
PRIME: XITE 80S FLASHBACK RAW,XITE 80S FLASHBACK,,pass3_samsung,USBB320000647,100.0,pass3-exact
PRIME: XITE 90S THROWBACK RAW,XITE 90S THROWBACK,,pass3_samsung,USBB3200007AK,100.0,pass3-exact
PRIME: XITE CHRISTIAN HITS RAW,XITE CHRISTIAN HITS,,pass3_samsung,US46000072L,100.0,pass3-exact
PRIME: XITE CLASSIC COUNTRY RAW,XITE CLASSIC COUNTRY,,pass3_pluto,623b92a2ccefed0007b1db48,100.0,pass3-exact
PRIME: XITE COUNTRY TODAY RAW,XITE COUNTRY TODAY,,pass3_samsung,USBD3300006O3,100.0,pass3-exact
PRIME: XITE GOSPEL RAW,XITE GOSPEL,,pass3_pluto,623b93628e6ded0007337d4d,100.0,pass3-exact
PRIME: XITE HIP-HOP EVOLUTION RAW,XITE HIP-HOP EVOLUTION,,plex,plex.tv.XITE.Hip-Hop.Evolution.plex,95.0,fuzzy
PRIME: XITE HITS RAW,XITE HITS,,pass3_samsung,USBD3300004RH,100.0,pass3-exact
PRIME: XITE NUEVO LATINO RAW,XITE NUEVO LATINO,,pass3_samsung,USBD3300007PB,100.0,pass3-exact
PRIME: XITE R&B CLASSIC JAMS RAW,XITE R&B CLASSIC JAMS,,pass3_samsung,USBD330000948,100.0,pass3-exact
PRIME: XITE R&B FEELS RAW,XITE R&B FEELS,,pass3_plex_mjh,6a1610bebdf296985fd95603-68800c6c4033a6a442ad923b,100.0,pass3-exact
PRIME: XITE ROCK X METAL RAW,XITE ROCK X METAL,,pass3_pluto,623a1b5188ecdc0007c9ef5a,100.0,pass3-exact
PRIME: YAHOO FINANCE LIVE RAW,YAHOO FINANCE LIVE,,pass3_samsung,USAJ4300005PJ,95.0,pass3-fuzzy
PRIME: YTV RAW,YTV,,pass3_canada,YTV.ca2,100.0,pass3-exact
PRIME: YU-GI-OH! RAW,YU-GI-OH!,,pass3_samsung,US1000003G8,100.0,pass3-exact
PRIME: ZENLIFE BY STINGRAY RAW,ZENLIFE BY STINGRAY,,pass3_pluto,696998dfa2b623e8b20125a3,100.0,pass3-exact
