name,source,source_epg_id,score,method,programmes
GO: MAGNOLIA NETWORK,us2,Magnolia.Network.HD.us2,100.0,alias-id,104
GO: MEATEATER,prime,PRIME: MEATEATER RAW,98.0,exact,14
GO: METV TOONS,us2,MeTV.Toons.us2,98.0,exact,143
GO: MGM+,us2,MGM+.HD.us2,98.0,exact,51
GO: MGM+ HITS,us2,MGM+.Hits.HD.us2,98.0,exact,50
GO: MGM+ MARQUEE,us2,MGM+.Marquee.HD.us2,98.0,exact,51
GO: MILITARY HEROES,prime,PRIME: MILITARY HEROES RAW,98.0,exact,11
GO: MILLION DOLLAR LISTING VAULT,prime,PRIME: MILLION DOLLAR LISTING VAULT RAW,98.0,exact,112
GO: MLB NETWORK,us2,MLB.Network.HD.us2,98.0,exact,71
GO: MLB NETWORK ALTERNATE,us2,MLB.Network.HD.Alternate.us2,98.0,exact,71
GO: MNT-WWOR,locals,WWOR-DT.us_locals1,100.0,callsign,115
GO: MODERN MARVELS,prime,PRIME: MODERN MARVELS RAW,98.0,exact,87
GO: MOTORTREND,us2,MOTORTREND.HD.us2,98.0,exact,102
GO: MOVIE FAVORITES BY LIFETIME,prime,PRIME: MOVIE FAVORITES BY LIFETIME RAW,98.0,exact,12
GO: MOVIESPHERE,tubi,TUBI:MOVIESPHERE,98.0,exact,22
GO: MSNBC,us2,MSNBC.HD.us2,98.0,exact,69
GO: MTV,us2,MTV.-.Music.Television.HD.us2,100.0,alias-id,156
GO: MTV CLASSIC,us2,MTV.-.Music.Television.HD.us2,100.0,alias-id,156
GO: MTV2,us2,MTV2:.Music.Television.HD.us2,100.0,alias-id,153
GO: MYTHBUSTERS,prime,PRIME: MYTHBUSTERS RAW,98.0,exact,140
GO: NAT GEO WILD,us2,National.Geographic.Wild.HD.us2,100.0,alias-id,117
GO: NATIONAL GEOGRAPHIC CHANNEL,us2,National.Geographic.HD.us2,100.0,alias-id,129
GO: NBA TV,us2,NBA.TV.HD.us2,100.0,alias-id,89
GO: NBC NEWS NOW,tubi,TUBI:NBC NEWS NOW,98.0,exact,45
GO: NBC SPORTS NOW,us2,NBC.Sports.Now.us2,98.0,exact,63
GO: NBC-WNBC,locals,WNBC-DT.us_locals1,100.0,callsign,99
GO: NEWSMAX TV,us2,Newsmax.TV.HD.us2,100.0,alias-id,82
GO: NEWSNATION,us2,NewsNation.us2,98.0,exact,96
GO: NFL NETWORK,us2,NFL.Network.HD.us2,98.0,exact,51
GO: NHL NETWORK,us2,NHL.Network.HD.us2,100.0,alias-id,72
GO: NICK JR.,us2,Nick.Jr.HD.us2,100.0,alias-id,193
GO: NICKELODEON EAST,us2,Nickelodeon.HD.us2,100.0,alias-id,124
GO: NICKTOONS,us2,Nicktoons.us2,98.0,exact,225
GO: NOSEY,us2,Nosey.us2,98.0,exact,127
GO: OVATION,us2,Ovation.HD.us2,98.0,exact,97
GO: OWN,us2,Oprah.Winfrey.Network.HD.us2,100.0,alias-id,121
GO: OXYGEN TRUE CRIME,us2,Oxygen.True.Crime.HD.us2,100.0,alias-id,91
GO: OXYGEN TRUE CRIME ARCHIVES,us2,Oxygen.True.Crime.HD.us2,100.0,alias-id,91
GO: PARAMOUNT TV,us2,Paramount.Network.HD.us2,100.0,alias-id,87
GO: PBS KIDS,us2,PBS.KIDS.HD.us2,98.0,exact,191
GO: PBS-WNET,locals,WNET-DT.us_locals1,100.0,callsign,106
GO: PBS-WNJN,locals,WNJN-DT.us_locals1,100.0,callsign,121
GO: PICKLEBALL TV,roku,9e545e4543ef52bda9d68842fb583f19,98.0,exact,20
GO: POKERGO,tubi,TUBI:POKERGO,98.0,exact,22
GO: POP,us2,POP.HD.us2,100.0,alias-id,109
GO: POWERNATION,prime,PRIME: POWERNATION RAW,98.0,exact,38
GO: PUREFLIX TV,us2,Pure.Flix.TV.us2,100.0,alias-id,42
GO: PURSUIT CHANNEL,us2,Pursuit.Channel.us2,98.0,exact,179
GO: QVC,us2,QVC.HD.us2,98.0,exact,71
GO: QVC2,us2,QVC2.us2,100.0,alias-id,59
GO: QVC3,us2,QVC3.us2,100.0,alias-id,82
GO: RACER NETWORK,us2,RACER.Network.HD.us2,100.0,alias-id,112
GO: RACING AMERICA,plex,6a1610bebdf296985fd95603-61a945156547ba4d6d238dc9,98.0,exact,80
GO: REAL HOUSEWIVES VAULT,prime,PRIME: REAL HOUSEWIVES VAULT RAW,98.0,exact,114
GO: REELZCHANNEL,us2,ReelzChannel.HD.us2,100.0,alias-id,107
GO: REVOLT,us2,Revolt.HD.us2,98.0,exact,124
GO: RFD-TV,us2,RFD.TV.HD.us2,98.0,exact,127
GO: RIG TV,samsung,US4500001DM,98.0,exact,14
GO: SAY YES TO THE DRESS,prime,PRIME: SAY YES TO THE DRESS RAW,98.0,exact,165
GO: SCIENCE,us2,Science.Channel.HD.us2,100.0,alias-id,95
GO: SCRIPPS NEWS,us2,Scripps.News.us2,100.0,alias-id,110
GO: SEC NETWORK,us2,SEC.Network.HD.us2,98.0,exact,70
GO: SHOP LC,us2,Shop.LC.us2,98.0,exact,96
GO: SHORTS TV,us2,Shorts.TV.us2,100.0,alias-id,96
GO: SMITHSONIAN CHANNEL,usent,US: SMITHSONIAN CHANNEL HD,98.0,exact,96
GO: SNL VAULT,prime,PRIME: SNL VAULT RAW,98.0,exact,103
GO: SPEEDVISION,prime,PRIME: SPEEDVISION RAW,98.0,exact,76
GO: SPORTSGRID,us2,SportsGrid.us2,100.0,alias-id,93
GO: SPORTSMAN CHANNEL,us2,Sportsman.Channel.us2,100.0,alias-id,192
GO: SPORTSNET NEW YORK 639,us2,SNY.SportsNet.New.York.HD.us2,100.0,alias-id,131
GO: STADIUM STREAM,tubi,TUBI:STADIUM,96.0,relaxed,27
GO: START TV,us2,Start.TV.Network.us2,96.0,relaxed,104
GO: STARZ ENCORE ACTION,us2,Starz.Encore.HD.us2,100.0,alias-id,49
GO: STARZ ENCORE BLACK,us2,Starz.Encore.HD.us2,100.0,alias-id,49
GO: STARZ ENCORE CLASSIC,us2,Starz.Encore.HD.us2,100.0,alias-id,49
GO: STARZ ENCORE EAST,us2,Starz.Encore.HD.us2,100.0,alias-id,49
GO: STARZ ENCORE FAMILY,us2,Starz.Encore.HD.us2,100.0,alias-id,49
GO: STARZ ENCORE SUSPENSE,us2,Starz.Encore.HD.us2,100.0,alias-id,49
GO: STARZ ENCORE WEST,us2,Starz.Encore.HD.us2,100.0,alias-id,49
GO: STARZ ENCORE WESTERNS,us2,Starz.Encore.HD.us2,100.0,alias-id,49
GO: SUNDANCE TV,us2,SundanceTV.HD.us2,100.0,alias-id,104
GO: SUPERMARKET SWEEP,tubi,TUBI:SUPERMARKET SWEEP,98.0,exact,101
GO: SURF CINEMA,plex,6a1610bebdf296985fd95603-656fbbd6dbcce28c3a41741b,98.0,exact,92
GO: SWEET ESCAPES,tubi,TUBI:SWEET ESCAPES,98.0,exact,54
GO: SWERVE COMBAT,prime,PRIME: SWERVE COMBAT RAW,98.0,exact,46
GO: SYFY,us2,Syfy.HD.us2,100.0,alias-id,61
GO: TASTEMADE,us2,Tastemade.us2,98.0,exact,150
GO: TASTEMADE HOME,us2,Tastemade.Home.us2,98.0,exact,35
GO: TASTEMADE TRAVEL,us2,Tastemade.Travel.us2,98.0,exact,30
GO: TBS,us2,TBS.HD.us2,100.0,alias-id,155
GO: TCM,us2,Turner.Classic.Movies.HD.us2,100.0,alias-id,58
GO: TEENNICK,us2,Teen.Nick.us2,100.0,alias-id,221
GO: TENNIS CHANNEL,us2,Tennis.Channel.HD.us2,100.0,alias-id,28
GO: TENNIS CHANNEL 2,us2,Tennis.Channel.HD.us2,100.0,alias-id,28
GO: THE DESIGN NETWORK,samsung,USBD1200022S1,98.0,exact,11
GO: THE FIRST,us2,The.First.us2,98.0,exact,96
GO: THE JIM ROME SHOW,prime,PRIME: THE JIM ROME SHOW RAW,98.0,exact,3
GO: THE PET COLLECTIVE,tubi,TUBI:THE PET COLLECTIVE,98.0,exact,84
GO: THE PRICE IS RIGHT: THE BARKER ERA,tubi,TUBI:THE PRICE IS RIGHT THE BARKER ERA,98.0,exact,51
GO: THE WEATHER CHANNEL,us2,The.Weather.Channel.HD.us2,98.0,exact,96
GO: THEGRIO,tubi,TUBI:THEGRIO,98.0,exact,50
GO: TINY HOUSE NATION,prime,PRIME: TINY HOUSE NATION RAW,98.0,exact,25
GO: TLC,us2,TLC.HD.(US).us2,100.0,alias-id,91
GO: TMO-WNJU,locals,WNJU-DT.us_locals1,100.0,callsign,90
GO: TNT,us2,TNT.HD.(Pacific).us2,98.0,exact,68
GO: TODAY ALL DAY,tubi,TUBI:TODAY ALL DAY,98.0,exact,69
GO: TRAVEL CHANNEL,us2,The.Travel.Channel.HD.us2,96.0,relaxed,104
GO: TRIBECA FESTIVAL+,us2,Tribeca.Festival.+.us2,98.0,exact,130
GO: TRUE CRIME NOW,tubi,TUBI:TRUE CRIME NOW,98.0,exact,48
GO: TRUTV,us2,truTV.HD.us2,98.0,exact,123
GO: TUDN,us2,TUDN.us2,100.0,alias-id,92
GO: TV LAND,us2,TV.Land.HD.us2,98.0,exact,169
GO: TV ONE,us2,TV.ONE.HD.us2,98.0,exact,171
GO: UNIMAS WEST,us2,UniMas.us2,100.0,alias-id,113
GO: UNIVERSO,us2,UNIVERSO.HD.us2,100.0,alias-id,91
GO: UNIVISION EAST,us2,Univision.Network.HD.us2,100.0,alias-id,111
GO: UNIVISION-WXTV,locals,WXTV-DT.us_locals1,100.0,callsign,78
GO: UNXPLAINED ZONE,tubi,TUBI:UNXPLAINED ZONE,98.0,exact,49
GO: UP,us2,UPtv.us2,100.0,alias-id,124
GO: USA NETWORK,us2,USA.Network.HD.(Pacific).us2,98.0,exact,91
GO: VH1,us2,VH1.HD.us2,100.0,alias-id,138
GO: VICE,us2,Vice.HD.us2,100.0,alias-id,102
GO: WAYPOINT TV,tubi,TUBI:WAYPOINT TV,98.0,exact,190
GO: WE TV,us2,WE.tv.HD.us2,98.0,exact,108
GO: WILLOW SPORTS,us2,Willow.Cricket.HD.us2,100.0,alias-id,98
GO: WLNY,locals,WLNY-DT.us_locals1,100.0,callsign,137
GO: WOMEN'S SPORTS NETWORK,tubi,TUBI:WOMEN S SPORTS NETWORK,98.0,exact,34
GO: YAHOO FINANCE,samsung,USAJ4300005PJ,98.0,exact,12
GO: YANKEES ENTERTAINMENT & SPORTS NETWORK,us2,Yes.Network.us2,100.0,alias-id,80
GO: YES NETWORK,us2,Yes.Network.us2,100.0,alias-id,80
GO: YU-GI-OH!,prime,PRIME: YU-GI-OH! RAW,98.0,exact,46
